"Index","Carrier","Year","Service category","Request","Code type","Code","Description of service","Number of requests per code","Approval rate","Initially denied then approved - approval rate","Expedited - Avg response time","Standard - Avg response time","Extenuating circumstances - Avg response time","Expedited - Number of requests","Standard - Number of requests","Extenuating circumstances - Number of requests","Drug name","Drug brand names"
"3320","Carrier M","2022","Outpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","19380","REVJ RECONSTRUCTED BREAST","13","100%",,,"24.1",,"0","13",,"NA","NA"
"3321","Carrier M","2022","Outpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","19357","TISSUE EXPANDER PLACEMENT IN BREAST RECONSTRUCTION, INCLUDING SUBSEQUENT EXPANSION(S)","13","100%",,,"7.8",,"0","13",,"NA","NA"
"3322","Carrier M","2022","Outpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","15823","BLEPHAROPLASTY, UPPER EYELID; WITH EXCESSIVE SKIN WEIGHTING DOWN LID","12","100%",,,"24.9",,"0","12",,"NA","NA"
"3323","Carrier M","2022","Outpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","36471","NJX SCLEROSING SOLUTION MULTIPLE VEINS SAME LEG","11","100%",,,"54.4",,"0","11",,"NA","NA"
"3324","Carrier M","2022","Outpatient Med-Surg","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","99354","PROLNG SVC O/P 1ST HOUR","10","100%",,"33.9","61.6",,"2","8",,"NA","NA"
"3325","Carrier M","2022","Outpatient Med-Surg","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","27447","ARTHRP KNE CONDYLE&PLATU MEDIAL&LAT COMPARTMENTS","61","0%","67%",,"38.1",,"0","61",,"NA","NA"
"3326","Carrier M","2022","Outpatient Med-Surg","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","89258","CRYOPRSRV EMBRYO","89","0%","75%",,"94.4",,"0","89",,"NA","NA"
"3327","Carrier M","2022","Outpatient Med-Surg","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","27130","ARTHRP ACETBLR/PROX FEM PROSTC AGRFT/ALGRFT","54","0%","76%",,"39.3",,"0","54",,"NA","NA"
"3328","Carrier M","2022","Outpatient Med-Surg","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","S4011","IVF PACKAGE","61","0%","67%",,"98",,"0","61",,"NA","NA"
"3329","Carrier M","2022","Outpatient Med-Surg","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","89342","STORAGE, (PER YEAR); EMBRYO(S)","81","0%","78%",,"81.3",,"0","81",,"NA","NA"
"3330","Carrier M","2022","Outpatient Med-Surg","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","31267","NSL/SINUS NDSC MAX ANTROST W/RMVL TISS MAX SINUS","30","0%","53%","1.9","60.6",,"1","29",,"NA","NA"
"3331","Carrier M","2022","Outpatient Med-Surg","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","19318","BREAST REDUCTION","81","0%","70%",,"69.5",,"0","81",,"NA","NA"
"3332","Carrier M","2022","Outpatient Med-Surg","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","31276","NASAL/SINUS NDSC W/FRONTAL SINUS EXPLORATION","27","0%","59%","9.7","79.2",,"2","25",,"NA","NA"
"3333","Carrier M","2022","Outpatient Med-Surg","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","S4015","COMPLETE IVF NOS CASE RATE","26","0%","73%",,"205.6",,"0","26",,"NA","NA"
"3334","Carrier M","2022","Outpatient Med-Surg","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","89253","ASSTD EMBRYO HATCHING MICROTQS ANY METH","94","0%","57%",,"107.8",,"0","94",,"NA","NA"
"3335","Carrier M","2022","Inpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","Internal","NA","MENTAL HEALTH RESIDENTIAL TREATMENT FACILITY","47","91%",,"26.8","249.3",,"4","43",,"NA","NA"
"3336","Carrier M","2022","Inpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","Internal","NA","CHEMICAL DEPENDENCY RESIDENTIAL TREATMENT FACILITY","7","100%",,"11.4","24.4",,"4","3",,"NA","NA"
"3337","Carrier M","2022","Inpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","Internal","NA","MENTAL HEALTH INPATIENT","2","100%",,,"96",,"0","2",,"NA","NA"
"3338","Carrier M","2022","Inpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","Internal","NA","DETOXIFICATION","1","100%",,,"0.1",,"0","1",,"NA","NA"
"3339","Carrier M","2022","Inpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","Internal","NA","CHEMICAL DEPENDENCY RESIDENTIAL TREATMENT FACILITY","7","100%",,"11.4","24.4",,"4","3",,"NA","NA"
"3340","Carrier M","2022","Inpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","Internal","NA","MENTAL HEALTH INPATIENT","2","100%",,,"96",,"0","2",,"NA","NA"
"3341","Carrier M","2022","Inpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","Internal","NA","DETOXIFICATION","1","100%",,,"0.1",,"0","1",,"NA","NA"
"3342","Carrier M","2022","Inpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","Internal","NA","MENTAL HEALTH RESIDENTIAL TREATMENT FACILITY","47","91%",,"26.8","249.3",,"4","43",,"NA","NA"
"3343","Carrier M","2022","Inpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","Internal","NA","MENTAL HEALTH INPATIENT","2","0%","100%",,"96",,"0","2",,"NA","NA"
"3344","Carrier M","2022","Inpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","Internal","NA","CHEMICAL DEPENDENCY RESIDENTIAL TREATMENT FACILITY","7","0%","100%","11.4","24.4",,"4","3",,"NA","NA"
"3345","Carrier M","2022","Inpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","Internal","NA","DETOXIFICATION","1","0%","100%",,"0.1",,"0","1",,"NA","NA"
"3346","Carrier M","2022","Inpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","Internal","NA","MENTAL HEALTH RESIDENTIAL TREATMENT FACILITY","47","0%","91%","26.8","249.3",,"4","43",,"NA","NA"
"3347","Carrier M","2022","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","H0035","MH PARTIAL HOSP TX UNDER 24H","93","98%",,"9.8","328.8",,"2","91",,"NA","NA"
"3348","Carrier M","2022","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","97151","BEHAVIOR IDENTIFICATION ASSESSMENT, ADMINISTERED BY A PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL, EACH 15 MINUTES OF THE PHYSICIANS OR OTHER QUALI FIED HEALTH CARE PROFESSIONALS TIME FACE-TO-FACE WITH PATIENT AND/OR GUARDIAN( S)/CAREGIVER(S) A","75","99%",,,"491.7",,"0","75",,"NA","NA"
"3349","Carrier M","2022","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","97153","ADAPTIVE BEHAVIOR TX BY PROTOCOL TECH EA 15 MIN","66","88%",,,"803.1",,"0","66",,"NA","NA"
"3350","Carrier M","2022","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","97155","ADAPTIVE BEHAVIOR TREATMENT WITH PROTOCOL MODIFICATION, ADMINISTERED BY PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL, WHICH MAY INCLUDE SIMULTANEOUS DIRECTION OF TECHNICIAN, FACE-TO-FACE WITH ONE PATIENT, EACH 15 MINUTES","65","92%",,,"740.1",,"0","65",,"NA","NA"
"3351","Carrier M","2022","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","97156","FAMILY ADAPTIVE BEHAVIOR TREATMENT GUIDANCE, ADMINISTERED BY PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL (WITH OR WITHOUT THE PATIENT PRESENT),FACE- TO-FACE WITH GUARDIAN(S)/CAREGIVER(S), EACH 15 MINUTES","60","98%",,,"636.2",,"0","60",,"NA","NA"
"3352","Carrier M","2022","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","H2036","ALCOHOL AND/OR DRUG TREATMENT PROGRAM, PER DIEM","46","87%",,"81.2","109.1",,"2","44",,"NA","NA"
"3353","Carrier M","2022","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","90837","PSYCHOTHERAPY, 60 MINUTES WITH PATIENT","42","93%",,,"730.4",,"0","42",,"NA","NA"
"3354","Carrier M","2022","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","90868","THERAPEUTIC REPETITIVE TRANSCRANIAL MAGNETIC STIMULATION (TMS) TREATMENT; SUBSEQUENT DELIVERY AND MANAGEMENT, PER SESSION","38","61%",,,"239.9",,"0","38",,"NA","NA"
"3355","Carrier M","2022","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","90867","THERAPEUTIC REPETITIVE TRANSCRANIAL MAGNETIC STIMULATION (TMS) TREATMENT; INITIAL, INCLUDING CORTICAL MAPPING, MOTOR THRESHOLD DETERMINATION, DELIVERY AND MANAGEMENT","35","57%",,,"204",,"0","35",,"NA","NA"
"3356","Carrier M","2022","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","90869","THERAPEUTIC REPETITIVE TRANSCRANIAL MAGNETIC STIMULATION (TMS) TREATMENT; SUBSEQUENT MOTOR THRESHOLD RE-DETERMINATION WITH DELIVERY AND MANAGEMENT","18","56%",,,"285.2",,"0","18",,"NA","NA"
"3357","Carrier M","2022","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","90832","PSYCHOTHERAPY, 30 MINUTES WITH PATIENT","5","100%",,,"10.9",,"0","5",,"NA","NA"
"3358","Carrier M","2022","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","99215","OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF AN ESTABLISHED PATIENT, WHICH REQUIRES A MEDICALLY APPROPRIATE HISTORY AND/OR EXAMINATION AND HIGH LEVEL OF MEDICAL DECISION MAKING. WHEN USING TIME FOR CODESELECTION, 40-54 MINUTES OF","2","100%",,,"127.4",,"0","2",,"NA","NA"
"3359","Carrier M","2022","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","96131","PSYCHOLOGICAL TST EVAL SVC PHYS/QHP EA ADDL HOUR","2","100%",,,"22.8",,"0","2",,"NA","NA"
"3360","Carrier M","2022","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","90847","FAMILY PSYCHOTHERAPY W/PATIENT PRESENT","2","100%",,,"176.6",,"0","2",,"NA","NA"
"3361","Carrier M","2022","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","96137","PSYCL/NRPSYCL TST PHYS/QHP 2+ TST EA ADDL 30 MIN","2","100%",,,"22.8",,"0","2",,"NA","NA"
"3362","Carrier M","2022","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","96130","PSYCHOLOGICAL TST EVAL SVC PHYS/QHP FIRST HOUR","2","100%",,,"22.8",,"0","2",,"NA","NA"
"3363","Carrier M","2022","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","90846","FAMILY PSYCHOTHERAPY W/O PATIENT PRESENT","2","100%",,,"2.1",,"0","2",,"NA","NA"
"3364","Carrier M","2022","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","96136","PSYL/NRPSYCL TST PHYS/QHP 2+ TST 1ST 30 MIN","2","100%",,,"22.8",,"0","2",,"NA","NA"
"3365","Carrier M","2022","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","90839","PSYCHOTHERAPY FOR CRISIS INITIAL 60 MINUTES","1","100%",,,"23.2",,"0","1",,"NA","NA"
"3366","Carrier M","2022","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","90853","GROUP MEDICAL PSYCHOTHERAPY (OTHER THAN OF A MULTIPLE-FAMILY GROUP)","1","100%",,,"24",,"0","1",,"NA","NA"
"3367","Carrier M","2022","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","90868","THERAPEUTIC REPETITIVE TRANSCRANIAL MAGNETIC STIMULATION (TMS) TREATMENT; SUBSEQUENT DELIVERY AND MANAGEMENT, PER SESSION","38","0%","61%",,"239.9",,"0","38",,"NA","NA"
"3368","Carrier M","2022","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","90867","THERAPEUTIC REPETITIVE TRANSCRANIAL MAGNETIC STIMULATION (TMS) TREATMENT; INITIAL, INCLUDING CORTICAL MAPPING, MOTOR THRESHOLD DETERMINATION, DELIVERY AND MANAGEMENT","35","0%","57%",,"204",,"0","35",,"NA","NA"
"3369","Carrier M","2022","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","99205","OFFICE OR OTHER OUTPATIENT VISIT FOR THE EVALUATION AND MANAGEMENT OF A NEW PATIENT, WHICH REQUIRES A MEDICALLY APPROPRIATE HISTORY AND/OR EXAMINATION AND HIGH LEVEL OF MEDICAL DECISION MAKING. WHEN USING TIME FOR CODE SELECTION, 60-74 MINUTES OF TOTAL T","1","0%","0%",,"115.6",,"0","1",,"NA","NA"
"3370","Carrier M","2022","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","90836","PSYCHOTHERAPY PT&/FAMILY W/E&M SRVCS 45 MIN","2","0%","50%",,"58.6",,"0","2",,"NA","NA"
"3371","Carrier M","2022","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","90832","PSYCHOTHERAPY, 30 MINUTES WITH PATIENT","5","0%","100%",,"10.9",,"0","5",,"NA","NA"
"3372","Carrier M","2022","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","97154","GROUP ADAPTIVE BHV TX BY PROTOCOL TECH EA 15 MIN","3","0%","67%",,"1,527.7",,"0","3",,"NA","NA"
"3373","Carrier M","2022","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","90791","PSYCHIATRIC DIAGNOSTIC EVALUATION","14","0%","86%",,"124.3",,"0","14",,"NA","NA"
"3374","Carrier M","2022","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","97151","BEHAVIOR IDENTIFICATION ASSESSMENT, ADMINISTERED BY A PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL, EACH 15 MINUTES OF THE PHYSICIANS OR OTHER QUALI FIED HEALTH CARE PROFESSIONALS TIME FACE-TO-FACE WITH PATIENT AND/OR GUARDIAN( S)/CAREGIVER(S) A","75","0%","99%",,"491.7",,"0","75",,"NA","NA"
"3375","Carrier M","2022","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","96130","PSYCHOLOGICAL TST EVAL SVC PHYS/QHP FIRST HOUR","2","0%","100%",,"22.8",,"0","2",,"NA","NA"
"3376","Carrier M","2022","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","97158","GRP ADAPT BHV PRTCL MODIFCAJ PHYS/QHP EA 15 MIN","3","0%","33%",,"1,527.7",,"0","3",,"NA","NA"
"3377","Carrier M","2022","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","E0486","ORAL DEVICE/APPLIANCE USED TO REDUCE UPPER AIRWAY COLLAPSIBILITY, ADJUSTABLE OR NON-ADJUSTABLE, CUSTOM FABRICATED, INCLUDES FITTING AND ADJUSTMENT","2","0%",,,"59.7",,"0","2",,"NA","NA"
"3378","Carrier M","2022","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","L5652","SUCTION SUSP AK/KNEE DISART","1","100%",,,"28.3",,"0","1",,"NA","NA"
"3379","Carrier M","2022","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","L5649","ISCH CONTAINMT/NARROW M-L SO","1","100%",,,"28.2",,"0","1",,"NA","NA"
"3380","Carrier M","2022","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","L5845","KNEE-SHIN SYS STANCE FLEXION","1","100%",,,"28.3",,"0","1",,"NA","NA"
"3381","Carrier M","2022","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","L8480","PROS SOCK SINGLE PLY AK","1","100%",,,"28.2",,"0","1",,"NA","NA"
"3382","Carrier M","2022","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","L5981","FLEX-WALK SYS LOW EXT PROSTH","1","100%",,,"22",,"0","1",,"NA","NA"
"3383","Carrier M","2022","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","L8460","SHRINKER ABOVE KNEE","1","100%",,,"28.2",,"0","1",,"NA","NA"
"3384","Carrier M","2022","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","L5950","ENDO AK ULTRA-LIGHT MATERIAL","1","100%",,,"28.2",,"0","1",,"NA","NA"
"3385","Carrier M","2022","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","L5650","TOT CONTACT AK/KNEE DISART S","1","100%",,,"28.2",,"0","1",,"NA","NA"
"3386","Carrier M","2022","DME","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","L5920","ENDO AK/HIP ALIGNABLE SYSTEM","1","100%",,,"28.2",,"0","1",,"NA","NA"
"3387","Carrier M","2022","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","L5652","SUCTION SUSP AK/KNEE DISART","1","100%",,,"28.3",,"0","1",,"NA","NA"
"3388","Carrier M","2022","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","L8480","PROS SOCK SINGLE PLY AK","1","100%",,,"28.2",,"0","1",,"NA","NA"
"3389","Carrier M","2022","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","L5649","ISCH CONTAINMT/NARROW M-L SO","1","100%",,,"28.2",,"0","1",,"NA","NA"
"3390","Carrier M","2022","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","L5845","KNEE-SHIN SYS STANCE FLEXION","1","100%",,,"28.3",,"0","1",,"NA","NA"
"3391","Carrier M","2022","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","L5968","MULTIAXIAL ANKLE W DORSIFLEX","1","100%",,,"21.9",,"0","1",,"NA","NA"
"3392","Carrier M","2022","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","L5981","FLEX-WALK SYS LOW EXT PROSTH","1","100%",,,"22",,"0","1",,"NA","NA"
"3393","Carrier M","2022","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","L8460","SHRINKER ABOVE KNEE","1","100%",,,"28.2",,"0","1",,"NA","NA"
"3394","Carrier M","2022","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","L5950","ENDO AK ULTRA-LIGHT MATERIAL","1","100%",,,"28.2",,"0","1",,"NA","NA"
"3395","Carrier M","2022","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","L5650","TOT CONTACT AK/KNEE DISART S","1","100%",,,"28.2",,"0","1",,"NA","NA"
"3396","Carrier M","2022","DME","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","L5920","ENDO AK/HIP ALIGNABLE SYSTEM","1","100%",,,"28.2",,"0","1",,"NA","NA"
"3397","Carrier M","2022","DME","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","HCPC","L5652","SUCTION SUSP AK/KNEE DISART","1","0%","100%",,"28.3",,"0","1",,"NA","NA"
"3398","Carrier M","2022","DME","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","HCPC","L5649","ISCH CONTAINMT/NARROW M-L SO","1","0%","100%",,"28.2",,"0","1",,"NA","NA"
"3399","Carrier M","2022","DME","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","HCPC","L5845","KNEE-SHIN SYS STANCE FLEXION","1","0%","100%",,"28.3",,"0","1",,"NA","NA"
"3400","Carrier M","2022","DME","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","HCPC","L8480","PROS SOCK SINGLE PLY AK","1","0%","100%",,"28.2",,"0","1",,"NA","NA"
"3401","Carrier M","2022","DME","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","HCPC","L5981","FLEX-WALK SYS LOW EXT PROSTH","1","0%","100%",,"22",,"0","1",,"NA","NA"
"3402","Carrier M","2022","DME","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","HCPC","L8460","SHRINKER ABOVE KNEE","1","0%","100%",,"28.2",,"0","1",,"NA","NA"
"3403","Carrier M","2022","DME","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","HCPC","L5950","ENDO AK ULTRA-LIGHT MATERIAL","1","0%","100%",,"28.2",,"0","1",,"NA","NA"
"3404","Carrier M","2022","DME","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","HCPC","L5650","TOT CONTACT AK/KNEE DISART S","1","0%","100%",,"28.2",,"0","1",,"NA","NA"
"3405","Carrier M","2022","DME","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","HCPC","L5920","ENDO AK/HIP ALIGNABLE SYSTEM","1","0%","100%",,"28.2",,"0","1",,"NA","NA"
"3406","Carrier M","2022","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","373","56.3%",,"4.74","12.95",,"92","281",,"OZEMPIC/RYBELSUS","NA"
"3407","Carrier M","2022","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","242","75.6%",,"4.13","9.56",,"65","177",,"DEPO-TESTOSTERONE/TESTOSTERONE","NA"
"3408","Carrier M","2022","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","197","89.8%",,"10.16","9.46",,"30","167",,"FIRST-OMEPRAZOLE/OMEPRAZOLE/PRILOSEC","NA"
"3409","Carrier M","2022","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","147","74.8%",,"2.89","15.68",,"45","102",,"ADDERALL/AMPHETAMINE-DEXTROAMPHET/AMPHETAMINE-DEXTROAMPHETAMINE/AMPHETAMINE/DEXTROAMPHETAMINE/MYDAYIS","NA"
"3410","Carrier M","2022","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","147","71.4%",,"3.12","10.5",,"19","128",,"PROTOPIC/TACROLIMUS","NA"
"3411","Carrier M","2022","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","146","87%",,"3.78","12.45",,"52","94",,"HYDROCODONE/HYDROCODONE-ACETAMINOPHEN/HYDROCODONE-APAP/HYDROCODONE/ACETAMINOPHEN","NA"
"3412","Carrier M","2022","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","132","93.2%",,"0.53","6.9",,"26","106",,"PANTOPRAZOLE","NA"
"3413","Carrier M","2022","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","121","77.7%",,"7.89","16.15",,"27","94",,"DULAGLUTIDE/TRULICITY","NA"
"3414","Carrier M","2022","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","121","87.6%",,"7.95","40.74",,"25","96",,"HUMIRA","NA"
"3415","Carrier M","2022","Prescription Drugs","Codes with the highest total number of prior authorization requests during the previous plan year","GPI10","NA","NA","115","81.7%",,"0.29","7.44",,"25","90",,"ABSORICA/ACCUTANE/AMNESTEEM/CLARAVIS/ISOTRETINOIN/MYORISAN/ZENATANE","NA"
"3416","Carrier M","2022","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","25","100%",,"7.74","18.09",,"9","16",,"SKYRIZI","NA"
"3417","Carrier M","2022","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","22","100%",,"1.77","18.81",,"6","16",,"GABAPENTIN","NA"
"3418","Carrier M","2022","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","20","100%",,"8.38","15.88",,"6","14",,"OMEPRAZOLE/PANTOPRAZOLE/RABEPRAZOLE","NA"
"3419","Carrier M","2022","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","14","100%",,"5.34","2.62",,"4","10",,"JANUMET","NA"
"3420","Carrier M","2022","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","14","100%",,"0","16.31",,"1","13",,"AKLIEF","NA"
"3421","Carrier M","2022","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","9","100%",,,"16.86",,"0","9",,"HIZENTRA","NA"
"3422","Carrier M","2022","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","9","100%",,"2.66","0.04",,"8","1",,"CAPECITABINE","NA"
"3423","Carrier M","2022","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","7","100%",,"0","0",,"2","5",,"ZALEPLON","NA"
"3424","Carrier M","2022","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","7","100%",,"0","0.01",,"4","3",,"RAMELTEON","NA"
"3425","Carrier M","2022","Prescription Drugs","Codes with the highest percentage of approved prior authorization requests during the previous plan year","GPI10","NA","NA","6","100%",,"0.92","19.02",,"1","5",,"PROLIA","NA"
"3426","Carrier M","2022","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","5","0%","100%",,"41.37",,"0","5",,"STELARA","NA"
"3427","Carrier M","2022","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","3","0%","100%",,"60.18",,"0","3",,"ANDROGEL/TESTOSTERONE","NA"
"3428","Carrier M","2022","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","3","0%","100%","0.71","42.43",,"1","2",,"HUMIRA","NA"
"3429","Carrier M","2022","Prescription Drugs","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","GPI10","NA","NA","3","0%","100%","2.2",,,"3","0",,"ELIQUIS","NA"
