"Index","Carrier","Year","Service category","Request","Code type","Code","Description of service","Number of requests per code","Approval rate","Initially denied then approved - approval rate","Expedited - Avg response time","Standard - Avg response time","Extenuating circumstances - Avg response time","Expedited - Number of requests","Standard - Number of requests","Extenuating circumstances - Number of requests","Drug name","Drug brand names"
"37","Carrier C","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","A9278","RECEIVER MON; EXT INTERSTITIAL CONT GLU MON SYS","1","100%",,,"1.5",,,,,"NA","NA"
"38","Carrier C","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","A4340","INDWELLING CATH SPECIAL","1","100%",,"0.1",,,,,,"NA","NA"
"39","Carrier C","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","A5120","SKIN BARRIER, WIPE OR SWA","1","100%",,,"191.6",,,,,"NA","NA"
"40","Carrier C","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","A4352","COUDE TIP URINARY CATH","1","100%",,"4.4",,,,,,"NA","NA"
"41","Carrier C","2020","Diabetes Supplies and Equip","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","E0781","INFUS PUMP AMBULATORY","1","0%","100%",,"1,013",,,,,"NA","NA"
"42","Carrier C","2020","Diabetes Supplies and Equip","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","E0784","EXTERN AMBUL INSULIN INFUS PUMP","179","0%","2%","63.9","385.1",,,,,"NA","NA"
"43","Carrier C","2020","Diabetes Supplies and Equip","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","A9276","SENSOR;INVSV DISP INTRSTL CONT GLU MON SYS 1U=1D","1,041","0%","1%","14.7","371.7",,,,,"NA","NA"
"44","Carrier D","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","A4230","INFUS INSULIN PUMP NON NE","74","100%",,"6.2","197.2",,,,,"NA","NA"
"45","Carrier D","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","A9274","EXT AMB INSULIN DELIVERY","17","100%",,"9.8","517.4",,,,,"NA","NA"
"46","Carrier D","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","A9277","TRANSMITTER; EXT INTERSTITIAL CONT GLU MON SYS","7","100%",,"42.7","594.1",,,,,"NA","NA"
"47","Carrier D","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","K0553","SUPPLY ALLOWANCE FOR THERAPEUTIC CONTINUOUS GLUCOSE MONITOR (CGM), INCLUDES ALL SUPPLIES AND ACCESSORIES","19","79%",,"19.9","2,064.6",,,,,"NA","NA"
"48","Carrier D","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","A9276","SENSOR;INVSV DISP INTRSTL CONT GLU MON SYS 1U=1D","469","75%",,"13.1","554.1",,,,,"NA","NA"
"49","Carrier D","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","E0784","EXTERN AMBUL INSULIN INFUS PUMP","86","69%",,"33.7","474.1",,,,,"NA","NA"
"50","Carrier D","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","A4456","ADHESIVE REMOVER, WIPES, ANY TYPE, EACH","3","67%",,,"199.1",,,,,"NA","NA"
"51","Carrier D","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","Q4186","EPIFIX, PER SQ CM","4","50%",,"60.1","258.8",,,,,"NA","NA"
"52","Carrier D","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","A4253","BLOOD GLUCOSE/REAGENT STR","2","50%",,"1.2",,,,,,"NA","NA"
"53","Carrier D","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","A6209","FOAM DRSG <=16 SQ IN W/O","2","0%",,"1.2",,,,,,"NA","NA"
"54","Carrier D","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","A4230","INFUS INSULIN PUMP NON NE","74","100%",,"6.2","197.2",,,,,"NA","NA"
"55","Carrier D","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","A9274","EXT AMB INSULIN DELIVERY","17","100%",,"9.8","517.4",,,,,"NA","NA"
"56","Carrier D","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","A9277","TRANSMITTER; EXT INTERSTITIAL CONT GLU MON SYS","7","100%",,"42.7","594.1",,,,,"NA","NA"
"57","Carrier D","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","Q4110","PRIMATRIX PER SQ CM","1","100%",,"3.3",,,,,,"NA","NA"
"58","Carrier D","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","K0553","SUPPLY ALLOWANCE FOR THERAPEUTIC CONTINUOUS GLUCOSE MONITOR (CGM), INCLUDES ALL SUPPLIES AND ACCESSORIES","19","79%",,"19.9","2,064.6",,,,,"NA","NA"
