Carrier,Year,Service category,Request,Code type,Code,Description of service,Number of requests per code,Expedited - Avg response time,Standard - Avg response time,Extenuating circumstances - Avg response time,Expedited - Number of requests,Standard - Number of requests,Extenuating circumstances - Number of requests,Drug name,Drug brand names,decision
Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,E0784,EXTERN AMBUL INSULIN INFUS PUMP,179.0,63.9,385.1,,,,,missing,missing,denied
Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,A9276,SENSOR;INVSV DISP INTRSTL CONT GLU MON SYS 1U=1D,1041.0,14.7,371.7,,,,,missing,missing,denied
Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A4230,INFUS INSULIN PUMP NON NE,74.0,6.2,197.2,,,,,missing,missing,approved
Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A9274,EXT AMB INSULIN DELIVERY,17.0,9.8,517.4,,,,,missing,missing,approved
Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A9277,TRANSMITTER; EXT INTERSTITIAL CONT GLU MON SYS,7.0,42.7,594.1,,,,,missing,missing,approved
Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,K0553,"SUPPLY ALLOWANCE FOR THERAPEUTIC CONTINUOUS GLUCOSE MONITOR (CGM), INCLUDES ALL SUPPLIES AND ACCESSORIES",19.0,19.9,2064.6,,,,,missing,missing,approved
Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A9276,SENSOR;INVSV DISP INTRSTL CONT GLU MON SYS 1U=1D,469.0,13.1,554.1,,,,,missing,missing,approved
Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,E0784,EXTERN AMBUL INSULIN INFUS PUMP,86.0,33.7,474.1,,,,,missing,missing,approved
Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A4456,"ADHESIVE REMOVER, WIPES, ANY TYPE, EACH",3.0,,199.1,,,,,missing,missing,approved
Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,Q4186,"EPIFIX, PER SQ CM",4.0,60.1,258.8,,,,,missing,missing,approved
Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A4253,BLOOD GLUCOSE/REAGENT STR,2.0,1.2,,,,,,missing,missing,approved
Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A6209,FOAM DRSG <=16 SQ IN W/O,2.0,1.2,,,,,,missing,missing,denied
Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A4230,INFUS INSULIN PUMP NON NE,74.0,6.2,197.2,,,,,missing,missing,approved
Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A9274,EXT AMB INSULIN DELIVERY,17.0,9.8,517.4,,,,,missing,missing,approved
Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A9277,TRANSMITTER; EXT INTERSTITIAL CONT GLU MON SYS,7.0,42.7,594.1,,,,,missing,missing,approved
Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,Q4110,PRIMATRIX PER SQ CM,1.0,3.3,,,,,,missing,missing,approved
Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,K0553,"SUPPLY ALLOWANCE FOR THERAPEUTIC CONTINUOUS GLUCOSE MONITOR (CGM), INCLUDES ALL SUPPLIES AND ACCESSORIES",19.0,19.9,2064.6,,,,,missing,missing,approved
Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A9276,SENSOR;INVSV DISP INTRSTL CONT GLU MON SYS 1U=1D,469.0,13.1,554.1,,,,,missing,missing,approved
Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,E0784,EXTERN AMBUL INSULIN INFUS PUMP,86.0,33.7,474.1,,,,,missing,missing,approved
Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A4456,"ADHESIVE REMOVER, WIPES, ANY TYPE, EACH",3.0,,199.1,,,,,missing,missing,approved
Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,Q4186,"EPIFIX, PER SQ CM",4.0,60.1,258.8,,,,,missing,missing,approved
Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A4253,BLOOD GLUCOSE/REAGENT STR,2.0,1.2,,,,,,missing,missing,approved
Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,E0781,EXTERNAL AMBULATORY INFUS,2.0,26.2,1429.8,,,,,missing,missing,denied
Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,A9276,SENSOR;INVSV DISP INTRSTL CONT GLU MON SYS 1U=1D,469.0,13.1,554.1,0.0,,,,missing,missing,denied
Carrier D,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,E0784,EXTERN AMBUL INSULIN INFUS PUMP,86.0,33.7,474.1,0.0,,,,missing,missing,denied
Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,K0553,SUPPLY ALLOW FOR TX CGM1 MO SPL = 1 U OF SERVICE,49.0,,18.8,,,,,missing,missing,approved
Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,A4230,INFUS INSULIN PUMP NON NEEDL,48.0,3.4,22.6,,,,,missing,missing,approved
Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,A4232,SYRINGE W/NEEDLE INSULIN 3CC,28.0,,16.4,,,,,missing,missing,approved
Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,A9276,SENSOR;INVSV DISP INTRSTL CONT GLU MON SYS 1U=1D,4.0,,5.2,,,,,missing,missing,approved
Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,A6257,TRANSPARENT FILM STERL 16 SQ IN OR LESS EA DRESS,3.0,,11.2,,,,,missing,missing,approved
Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,K0554,RECEIVER DEDICATED FOR USE W/THERAPEUTIC GCM SYS,132.0,,33.9,,,,,missing,missing,approved
Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0784,EXT AMB INFUSN PUMP INSULIN,22.0,,41.1,,,,,missing,missing,approved
Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,95250,Ambulatory continuous glucose monitoring of interstitial tissue fluid via a subcutaneous sensor,32.0,,,,,,,missing,missing,denied
Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,A5120,SKIN BARRIER WIPES OR SWABS EACH,3.0,,65.0,,,,,missing,missing,denied
Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,K0553,SUPPLY ALLOW FOR TX CGM1 MO SPL = 1 U OF SERVICE,49.0,,18.8,,,,,missing,missing,approved
Carrier E,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A4230,INFUS INSULIN PUMP NON NEEDL,48.0,3.4,22.6,,,,,missing,missing,approved
